Gene stable ID	Transcript stable ID	Oryza sativa Indica Group protein or transcript stable ID
AT5G27230	AT5G27230.1	BGIOSGA013041-PA
AT3G13222	AT3G13222.1	BGIOSGA030392-PA
AT1G17270	AT1G17270.2	BGIOSGA025982-PA
AT1G17270	AT1G17270.1	BGIOSGA025982-PA
AT4G17920	AT4G17920.1	
AT4G33360	AT4G33360.3	BGIOSGA011999-PA
AT4G33360	AT4G33360.1	BGIOSGA011999-PA
AT4G33360	AT4G33360.2	BGIOSGA011999-PA
AT4G33360	AT4G33360.3	BGIOSGA011998-PA
AT4G33360	AT4G33360.1	BGIOSGA011998-PA
AT4G33360	AT4G33360.2	BGIOSGA011998-PA
AT1G74350	AT1G74350.1	BGIOSGA020827-PA
AT5G54062	AT5G54062.1	
AT1G75230	AT1G75230.1	BGIOSGA017545-PA
AT1G75230	AT1G75230.2	BGIOSGA017545-PA
AT1G75230	AT1G75230.1	BGIOSGA020425-PA
AT1G75230	AT1G75230.2	BGIOSGA020425-PA
AT1G29150	AT1G29150.2	BGIOSGA013003-PA
AT1G29150	AT1G29150.1	BGIOSGA013003-PA
AT1G29150	AT1G29150.2	BGIOSGA016476-PA
AT1G29150	AT1G29150.1	BGIOSGA016476-PA
AT1G17140	AT1G17140.1	
AT1G17140	AT1G17140.2	
AT1G08380	AT1G08380.1	
AT5G11020	AT5G11020.3	BGIOSGA027272-PA
AT5G11020	AT5G11020.2	BGIOSGA027272-PA
AT5G11020	AT5G11020.4	BGIOSGA027272-PA
AT5G11020	AT5G11020.1	BGIOSGA027272-PA
AT5G11020	AT5G11020.3	BGIOSGA007012-PA
AT5G11020	AT5G11020.2	BGIOSGA007012-PA
AT5G11020	AT5G11020.4	BGIOSGA007012-PA
AT5G11020	AT5G11020.1	BGIOSGA007012-PA
AT5G11020	AT5G11020.3	BGIOSGA019615-PA
AT5G11020	AT5G11020.2	BGIOSGA019615-PA
AT5G11020	AT5G11020.4	BGIOSGA019615-PA
AT5G11020	AT5G11020.1	BGIOSGA019615-PA
AT4G00883	AT4G00883.1	
AT1G43560	AT1G43560.1	BGIOSGA039382-PA
AT5G26030	AT5G26030.1	
AT5G26030	AT5G26030.2	
AT4G24900	AT4G24900.1	BGIOSGA031054-PA
AT4G24900	AT4G24900.2	BGIOSGA031054-PA
AT4G03190	AT4G03190.1	BGIOSGA018793-PA
AT3G56660	AT3G56660.1	BGIOSGA026248-PA
AT3G56660	AT3G56660.1	BGIOSGA018059-PA
AT1G07700	AT1G07700.3	BGIOSGA006222-PA
AT1G07700	AT1G07700.1	BGIOSGA006222-PA
AT1G07700	AT1G07700.4	BGIOSGA006222-PA
AT1G07700	AT1G07700.2	BGIOSGA006222-PA
AT1G33750	AT1G33750.1	BGIOSGA019641-PA
AT1G33750	AT1G33750.1	BGIOSGA010911-PA
AT1G33750	AT1G33750.1	BGIOSGA034638-PA
AT1G33750	AT1G33750.1	BGIOSGA036780-PA
AT1G33750	AT1G33750.1	BGIOSGA004720-PA
AT3G28680	AT3G28680.1	
AT3G51880	AT3G51880.2	BGIOSGA008782-PA
AT3G51880	AT3G51880.5	BGIOSGA008782-PA
AT3G51880	AT3G51880.1	BGIOSGA008782-PA
AT3G51880	AT3G51880.4	BGIOSGA008782-PA
AT3G51880	AT3G51880.3	BGIOSGA008782-PA
AT3G51880	AT3G51880.2	BGIOSGA016928-PA
AT3G51880	AT3G51880.5	BGIOSGA016928-PA
AT3G51880	AT3G51880.1	BGIOSGA016928-PA
AT3G51880	AT3G51880.4	BGIOSGA016928-PA
AT3G51880	AT3G51880.3	BGIOSGA016928-PA
AT1G61270	AT1G61270.1	
AT1G14750	AT1G14750.1	BGIOSGA011192-PA
AT1G14750	AT1G14750.4	BGIOSGA011192-PA
AT1G14750	AT1G14750.3	BGIOSGA011192-PA
AT1G14750	AT1G14750.2	BGIOSGA011192-PA
AT5G62760	AT5G62760.1	BGIOSGA006872-PA
AT5G62760	AT5G62760.4	BGIOSGA006872-PA
AT5G62760	AT5G62760.2	BGIOSGA006872-PA
AT5G62760	AT5G62760.3	BGIOSGA006872-PA
AT5G62760	AT5G62760.6	BGIOSGA006872-PA
AT5G62760	AT5G62760.5	BGIOSGA006872-PA
AT3G18035	AT3G18035.2	BGIOSGA017429-PA
AT3G18035	AT3G18035.1	BGIOSGA017429-PA
AT4G33735	AT4G33735.1	
AT1G05900	AT1G05900.2	BGIOSGA035099-PA
AT1G05900	AT1G05900.1	BGIOSGA035099-PA
AT2G16505	AT2G16505.1	
AT5G17210	AT5G17210.2	BGIOSGA022063-PA
AT5G17210	AT5G17210.1	BGIOSGA022063-PA
AT5G02190	AT5G02190.1	BGIOSGA012317-PA
AT5G02190	AT5G02190.1	BGIOSGA000500-PA
AT1G44120	AT1G44120.2	BGIOSGA034933-PA
AT1G44120	AT1G44120.3	BGIOSGA034933-PA
AT1G44120	AT1G44120.1	BGIOSGA034933-PA
AT4G01995	AT4G01995.1	
AT4G01995	AT4G01995.3	
AT4G01995	AT4G01995.2	
AT2G07785	AT2G07785.1	
AT2G41082	AT2G41082.1	
AT1G52990	AT1G52990.1	
AT1G52990	AT1G52990.2	
AT4G21320	AT4G21320.1	BGIOSGA020661-PA
AT1G37130	AT1G37130.1	BGIOSGA005531-PA
AT1G37130	AT1G37130.1	BGIOSGA028821-PA
AT1G37130	AT1G37130.1	BGIOSGA026842-PA
AT1G37130	AT1G37130.1	BGIOSGA026840-PA
AT1G37130	AT1G37130.1	BGIOSGA026839-PA
AT5G42957	AT5G42957.1	
AT5G48510	AT5G48510.1	BGIOSGA036774-PA
AT5G48510	AT5G48510.1	BGIOSGA034633-PA
AT4G20575	AT4G20575.1	
AT4G28365	AT4G28365.1	
AT5G55560	AT5G55560.1	BGIOSGA026025-PA
AT3G14400	AT3G14400.1	
AT5G65820	AT5G65820.1	
AT4G02300	AT4G02300.1	BGIOSGA003361-PA
AT4G02300	AT4G02300.1	BGIOSGA023725-PA
AT2G25330	AT2G25330.1	BGIOSGA006052-PA
AT5G32590	AT5G32590.1	
AT3G18840	AT3G18840.3	BGIOSGA031692-PA
AT3G18840	AT3G18840.2	BGIOSGA031692-PA
AT1G48175	AT1G48175.6	BGIOSGA012524-PA
AT1G48175	AT1G48175.1	BGIOSGA012524-PA
AT1G48175	AT1G48175.2	BGIOSGA012524-PA
AT1G48175	AT1G48175.4	BGIOSGA012524-PA
AT1G48175	AT1G48175.5	BGIOSGA012524-PA
AT1G48175	AT1G48175.3	BGIOSGA012524-PA
ATCG01250	ATCG01250.1	BGIOSGA027256-PA
AT2G28560	AT2G28560.6	BGIOSGA018910-PA
AT2G28560	AT2G28560.3	BGIOSGA018910-PA
AT2G28560	AT2G28560.5	BGIOSGA018910-PA
AT2G28560	AT2G28560.2	BGIOSGA018910-PA
AT2G28560	AT2G28560.4	BGIOSGA018910-PA
AT2G28560	AT2G28560.1	BGIOSGA018910-PA
AT5G63190	AT5G63190.2	BGIOSGA014855-PA
AT5G63190	AT5G63190.1	BGIOSGA014855-PA
AT5G63190	AT5G63190.2	BGIOSGA027740-PA
AT5G63190	AT5G63190.1	BGIOSGA027740-PA
AT4G03565	AT4G03565.1	
AT1G72140	AT1G72140.1	
AT2G21140	AT2G21140.1	
AT4G00530	AT4G00530.1	
AT2G01300	AT2G01300.1	
AT1G66465	AT1G66465.2	
AT1G66465	AT1G66465.1	
AT1G43260	AT1G43260.1	BGIOSGA032445-PA
AT1G43260	AT1G43260.1	BGIOSGA032312-PA
AT1G14420	AT1G14420.1	BGIOSGA006875-PA
AT1G14420	AT1G14420.1	BGIOSGA023152-PA
AT1G14420	AT1G14420.1	BGIOSGA021941-PA
AT1G14420	AT1G14420.1	BGIOSGA021942-PA
AT1G14420	AT1G14420.1	BGIOSGA021945-PA
AT1G14420	AT1G14420.1	BGIOSGA022285-PA
AT1G14420	AT1G14420.1	BGIOSGA023153-PA
AT1G01710	AT1G01710.1	BGIOSGA016909-PA
AT4G15460	AT4G15460.3	
AT4G15460	AT4G15460.2	
AT4G15460	AT4G15460.4	
AT4G15460	AT4G15460.1	
AT2G35240	AT2G35240.1	BGIOSGA017054-PA
AT2G35240	AT2G35240.1	BGIOSGA022188-PA
AT5G38120	AT5G38120.3	BGIOSGA011778-PA
AT5G38120	AT5G38120.1	BGIOSGA011778-PA
AT5G38120	AT5G38120.4	BGIOSGA011778-PA
AT5G38120	AT5G38120.2	BGIOSGA011778-PA
AT3G16590	AT3G16590.1	
AT4G28170	AT4G28170.1	
AT1G44000	AT1G44000.1	BGIOSGA017418-PA
AT1G73960	AT1G73960.2	BGIOSGA030741-PA
AT1G73960	AT1G73960.3	BGIOSGA030741-PA
AT1G73960	AT1G73960.1	BGIOSGA030741-PA
AT4G31570	AT4G31570.1	BGIOSGA007537-PA
AT4G31570	AT4G31570.5	BGIOSGA007537-PA
AT4G31570	AT4G31570.2	BGIOSGA007537-PA
AT4G31570	AT4G31570.4	BGIOSGA007537-PA
AT4G31570	AT4G31570.7	BGIOSGA007537-PA
AT4G31570	AT4G31570.6	BGIOSGA007537-PA
AT4G31570	AT4G31570.3	BGIOSGA007537-PA
AT2G35960	AT2G35960.1	BGIOSGA015125-PA
AT2G35960	AT2G35960.1	BGIOSGA027813-PA
AT2G35960	AT2G35960.1	BGIOSGA036592-PA
AT2G35960	AT2G35960.1	BGIOSGA034464-PA
AT2G35960	AT2G35960.1	BGIOSGA006301-PA
AT2G35960	AT2G35960.1	BGIOSGA014058-PA
AT1G11360	AT1G11360.2	BGIOSGA000690-PA
AT1G11360	AT1G11360.1	BGIOSGA000690-PA
AT1G11360	AT1G11360.4	BGIOSGA000690-PA
AT1G11360	AT1G11360.3	BGIOSGA000690-PA
AT1G11360	AT1G11360.2	BGIOSGA020133-PA
AT1G11360	AT1G11360.1	BGIOSGA020133-PA
AT1G11360	AT1G11360.4	BGIOSGA020133-PA
AT1G11360	AT1G11360.3	BGIOSGA020133-PA
AT1G11360	AT1G11360.2	BGIOSGA024121-PA
AT1G11360	AT1G11360.1	BGIOSGA024121-PA
AT1G11360	AT1G11360.4	BGIOSGA024121-PA
AT1G11360	AT1G11360.3	BGIOSGA024121-PA
AT3G10845	AT3G10845.1	BGIOSGA014458-PA
AT2G33400	AT2G33400.1	
AT5G02810	AT5G02810.2	BGIOSGA010964-PA
AT5G02810	AT5G02810.1	BGIOSGA010964-PA
AT5G02810	AT5G02810.2	BGIOSGA026452-PA
AT5G02810	AT5G02810.1	BGIOSGA026452-PA
AT1G04490	AT1G04490.9	BGIOSGA011485-PA
AT1G04490	AT1G04490.5	BGIOSGA011485-PA
AT1G04490	AT1G04490.4	BGIOSGA011485-PA
AT1G04490	AT1G04490.6	BGIOSGA011485-PA
AT1G04490	AT1G04490.3	BGIOSGA011485-PA
AT1G04490	AT1G04490.7	BGIOSGA011485-PA
AT1G04490	AT1G04490.2	BGIOSGA011485-PA
AT1G04490	AT1G04490.1	BGIOSGA011485-PA
AT1G04490	AT1G04490.8	BGIOSGA011485-PA
AT1G78476	AT1G78476.1	
AT1G15310	AT1G15310.1	BGIOSGA004535-PA
AT1G15310	AT1G15310.1	BGIOSGA017746-PA
AT1G13300	AT1G13300.1	
AT3G12010	AT3G12010.1	BGIOSGA032872-PA
AT1G55530	AT1G55530.1	BGIOSGA012539-PA
AT1G55530	AT1G55530.2	BGIOSGA012539-PA
AT1G55530	AT1G55530.3	BGIOSGA012539-PA
AT1G55530	AT1G55530.1	BGIOSGA012373-PA
AT1G55530	AT1G55530.2	BGIOSGA012373-PA
AT1G55530	AT1G55530.3	BGIOSGA012373-PA
AT1G55530	AT1G55530.1	BGIOSGA003251-PA
AT1G55530	AT1G55530.2	BGIOSGA003251-PA
AT1G55530	AT1G55530.3	BGIOSGA003251-PA
AT1G55530	AT1G55530.1	BGIOSGA017827-PA
AT1G55530	AT1G55530.2	BGIOSGA017827-PA
AT1G55530	AT1G55530.3	BGIOSGA017827-PA
AT1G47350	AT1G47350.1	
AT3G56390	AT3G56390.1	
AT3G19660	AT3G19660.1	
AT1G74458	AT1G74458.1	
AT4G01595	AT4G01595.1	BGIOSGA020440-PA
AT4G01595	AT4G01595.1	BGIOSGA004162-PA
AT4G30280	AT4G30280.1	
AT4G10050	AT4G10050.1	BGIOSGA016470-PA
AT4G10050	AT4G10050.2	BGIOSGA016470-PA
AT2G02180	AT2G02180.1	BGIOSGA011563-PA
AT2G02180	AT2G02180.1	BGIOSGA033362-PA
AT2G42690	AT2G42690.1	BGIOSGA000932-PA
AT1G32120	AT1G32120.1	BGIOSGA010420-PA
AT1G32120	AT1G32120.1	BGIOSGA009567-PA
AT1G32120	AT1G32120.1	BGIOSGA037226-PA
AT1G32120	AT1G32120.1	BGIOSGA012985-PA
AT1G17260	AT1G17260.1	BGIOSGA000048-PA
AT1G17260	AT1G17260.1	BGIOSGA011322-PA
AT4G25160	AT4G25160.1	BGIOSGA033441-PA
AT4G25160	AT4G25160.1	BGIOSGA011629-PA
AT2G39570	AT2G39570.1	BGIOSGA019046-PA
AT2G23060	AT2G23060.2	BGIOSGA024927-PA
AT2G23060	AT2G23060.1	BGIOSGA024927-PA
AT2G23060	AT2G23060.2	BGIOSGA013617-PA
AT2G23060	AT2G23060.1	BGIOSGA013617-PA
AT2G23060	AT2G23060.2	BGIOSGA011250-PA
AT2G23060	AT2G23060.1	BGIOSGA011250-PA
AT1G32660	AT1G32660.1	
AT1G31480	AT1G31480.1	BGIOSGA025552-PA
AT1G31480	AT1G31480.1	BGIOSGA027770-PA
AT4G15880	AT4G15880.1	BGIOSGA012848-PA
AT4G15880	AT4G15880.2	BGIOSGA012848-PA
AT4G15880	AT4G15880.1	BGIOSGA001682-PA
AT4G15880	AT4G15880.2	BGIOSGA001682-PA
AT4G15880	AT4G15880.1	BGIOSGA010758-PA
AT4G15880	AT4G15880.2	BGIOSGA010758-PA
AT4G26620	AT4G26620.1	BGIOSGA005705-PA
AT1G17500	AT1G17500.2	BGIOSGA023101-PA
AT1G17500	AT1G17500.1	BGIOSGA023101-PA
AT1G50780	AT1G50780.1	
AT1G21150	AT1G21150.2	
AT1G21150	AT1G21150.3	
AT1G21150	AT1G21150.1	
AT3G04990	AT3G04990.1	
AT2G22120	AT2G22120.2	BGIOSGA033737-PA
AT2G22120	AT2G22120.1	BGIOSGA033737-PA
AT1G78110	AT1G78110.1	
AT1G80080	AT1G80080.1	
AT3G46840	AT3G46840.1	
AT2G47470	AT2G47470.2	BGIOSGA003439-PA
AT2G47470	AT2G47470.1	BGIOSGA003439-PA
AT2G47470	AT2G47470.4	BGIOSGA003439-PA
AT2G47470	AT2G47470.3	BGIOSGA003439-PA
AT2G47470	AT2G47470.2	BGIOSGA018777-PA
AT2G47470	AT2G47470.1	BGIOSGA018777-PA
AT2G47470	AT2G47470.4	BGIOSGA018777-PA
AT2G47470	AT2G47470.3	BGIOSGA018777-PA
AT4G02790	AT4G02790.1	BGIOSGA018001-PA
AT4G19410	AT4G19410.1	BGIOSGA017057-PA
AT4G19410	AT4G19410.2	BGIOSGA017057-PA
AT2G45110	AT2G45110.1	
AT1G23260	AT1G23260.2	BGIOSGA013436-PA
AT1G23260	AT1G23260.1	BGIOSGA013436-PA
AT1G09790	AT1G09790.2	BGIOSGA016848-PA
AT1G09790	AT1G09790.1	BGIOSGA016848-PA
AT3G58710	AT3G58710.1	
AT3G58710	AT3G58710.2	
AT5G65100	AT5G65100.1	
AT1G60270	AT1G60270.1	
AT1G60270	AT1G60270.2	
AT5G57350	AT5G57350.4	
AT5G57350	AT5G57350.2	
AT5G57350	AT5G57350.3	
AT5G57350	AT5G57350.1	
AT5G32613	AT5G32613.1	
AT2G03955	AT2G03955.1	
AT1G25400	AT1G25400.1	
AT1G25400	AT1G25400.2	
AT3G29100	AT3G29100.1	BGIOSGA004299-PA
AT3G29100	AT3G29100.2	BGIOSGA004299-PA
AT3G29100	AT3G29100.4	BGIOSGA004299-PA
AT3G29100	AT3G29100.3	BGIOSGA004299-PA
AT3G29100	AT3G29100.5	BGIOSGA004299-PA
AT3G29100	AT3G29100.1	BGIOSGA001412-PA
AT3G29100	AT3G29100.2	BGIOSGA001412-PA
AT3G29100	AT3G29100.4	BGIOSGA001412-PA
AT3G29100	AT3G29100.3	BGIOSGA001412-PA
AT3G29100	AT3G29100.5	BGIOSGA001412-PA
AT5G49240	AT5G49240.1	BGIOSGA039913-PA
AT5G49240	AT5G49240.1	BGIOSGA038540-PA
AT5G49240	AT5G49240.1	BGIOSGA039211-PA
AT5G49240	AT5G49240.1	BGIOSGA039596-PA
AT5G49240	AT5G49240.1	BGIOSGA038923-PA
AT5G49240	AT5G49240.1	BGIOSGA038685-PA
AT5G49240	AT5G49240.1	BGIOSGA038515-PA
AT5G49240	AT5G49240.1	BGIOSGA039065-PA
AT5G49240	AT5G49240.1	BGIOSGA039981-PA
AT2G46890	AT2G46890.1	BGIOSGA015757-PA
AT1G77980	AT1G77980.1	BGIOSGA003731-PA
AT1G77980	AT1G77980.1	BGIOSGA026745-PA
AT1G43140	AT1G43140.1	BGIOSGA005121-PA
AT2G39770	AT2G39770.2	BGIOSGA004796-PA
AT2G39770	AT2G39770.3	BGIOSGA004796-PA
AT2G39770	AT2G39770.1	BGIOSGA004796-PA
AT2G39770	AT2G39770.2	BGIOSGA011034-PA
AT2G39770	AT2G39770.3	BGIOSGA011034-PA
AT2G39770	AT2G39770.1	BGIOSGA011034-PA
AT2G39770	AT2G39770.2	BGIOSGA027401-PA
AT2G39770	AT2G39770.3	BGIOSGA027401-PA
AT2G39770	AT2G39770.1	BGIOSGA027401-PA
AT3G58810	AT3G58810.1	BGIOSGA018888-PA
AT3G58810	AT3G58810.2	BGIOSGA018888-PA
AT1G42470	AT1G42470.1	BGIOSGA014543-PA
AT5G16130	AT5G16130.1	BGIOSGA012421-PA
AT5G16130	AT5G16130.1	BGIOSGA018252-PA
AT5G16130	AT5G16130.1	BGIOSGA018246-PA
AT5G16130	AT5G16130.1	BGIOSGA006573-PA
AT5G16130	AT5G16130.1	BGIOSGA012420-PA
AT4G20555	AT4G20555.1	
AT3G05640	AT3G05640.2	BGIOSGA018214-PA
AT3G05640	AT3G05640.1	BGIOSGA018214-PA
AT3G05640	AT3G05640.3	BGIOSGA018214-PA
AT4G35520	AT4G35520.6	BGIOSGA029309-PA
AT4G35520	AT4G35520.2	BGIOSGA029309-PA
AT4G35520	AT4G35520.7	BGIOSGA029309-PA
AT4G35520	AT4G35520.8	BGIOSGA029309-PA
AT4G35520	AT4G35520.5	BGIOSGA029309-PA
AT4G35520	AT4G35520.3	BGIOSGA029309-PA
AT4G35520	AT4G35520.4	BGIOSGA029309-PA
AT4G35520	AT4G35520.1	BGIOSGA029309-PA
AT2G24180	AT2G24180.1	BGIOSGA012992-PA
AT2G24180	AT2G24180.1	BGIOSGA024458-PA
AT2G24180	AT2G24180.1	BGIOSGA024460-PA
AT2G24180	AT2G24180.1	BGIOSGA024459-PA
AT2G24180	AT2G24180.1	BGIOSGA036106-PA
AT2G24180	AT2G24180.1	BGIOSGA024456-PA
AT2G24180	AT2G24180.1	BGIOSGA013948-PA
AT4G10790	AT4G10790.1	BGIOSGA029572-PA
AT3G28330	AT3G28330.1	
AT2G29970	AT2G29970.1	BGIOSGA006509-PA
AT2G29970	AT2G29970.1	BGIOSGA015394-PA
AT2G29970	AT2G29970.1	BGIOSGA036847-PA
AT2G29970	AT2G29970.1	BGIOSGA037886-PA
AT1G34170	AT1G34170.2	
AT1G34170	AT1G34170.1	
AT1G34170	AT1G34170.3	
AT1G56150	AT1G56150.1	BGIOSGA037837-PA
AT1G56150	AT1G56150.1	BGIOSGA007616-PA
AT1G56150	AT1G56150.1	BGIOSGA013253-PA
AT1G56150	AT1G56150.1	BGIOSGA013252-PA
AT1G56150	AT1G56150.1	BGIOSGA010110-PA
AT1G56150	AT1G56150.1	BGIOSGA013251-PA
AT1G56150	AT1G56150.1	BGIOSGA014341-PA
AT1G56150	AT1G56150.1	BGIOSGA020705-PA
AT3G24440	AT3G24440.2	BGIOSGA036072-PA
AT3G24440	AT3G24440.1	BGIOSGA036072-PA
AT3G24440	AT3G24440.2	BGIOSGA018818-PA
AT3G24440	AT3G24440.1	BGIOSGA018818-PA
AT3G27500	AT3G27500.3	
AT3G27500	AT3G27500.1	
AT3G27500	AT3G27500.2	
AT1G75520	AT1G75520.1	
AT1G53890	AT1G53890.1	
AT1G53890	AT1G53890.2	
AT1G53890	AT1G53890.4	
AT1G53890	AT1G53890.5	
AT1G53890	AT1G53890.3	
AT5G27470	AT5G27470.1	BGIOSGA003763-PA
AT5G27470	AT5G27470.1	BGIOSGA012051-PA
AT5G03260	AT5G03260.1	BGIOSGA001159-PA
AT5G01370	AT5G01370.1	
AT5G26920	AT5G26920.3	BGIOSGA035666-PA
AT5G26920	AT5G26920.1	BGIOSGA035666-PA
AT5G26920	AT5G26920.2	BGIOSGA035666-PA
AT5G26920	AT5G26920.3	BGIOSGA033582-PA
AT5G26920	AT5G26920.1	BGIOSGA033582-PA
AT5G26920	AT5G26920.2	BGIOSGA033582-PA
AT5G26920	AT5G26920.3	BGIOSGA037578-PA
AT5G26920	AT5G26920.1	BGIOSGA037578-PA
AT5G26920	AT5G26920.2	BGIOSGA037578-PA
AT5G26920	AT5G26920.3	BGIOSGA033577-PA
AT5G26920	AT5G26920.1	BGIOSGA033577-PA
AT5G26920	AT5G26920.2	BGIOSGA033577-PA
AT5G26920	AT5G26920.3	BGIOSGA022945-PA
AT5G26920	AT5G26920.1	BGIOSGA022945-PA
AT5G26920	AT5G26920.2	BGIOSGA022945-PA
AT5G26920	AT5G26920.3	BGIOSGA037580-PA
AT5G26920	AT5G26920.1	BGIOSGA037580-PA
AT5G26920	AT5G26920.2	BGIOSGA037580-PA
AT5G26920	AT5G26920.3	BGIOSGA013659-PA
AT5G26920	AT5G26920.1	BGIOSGA013659-PA
AT5G26920	AT5G26920.2	BGIOSGA013659-PA
AT5G26920	AT5G26920.3	BGIOSGA035667-PA
AT5G26920	AT5G26920.1	BGIOSGA035667-PA
AT5G26920	AT5G26920.2	BGIOSGA035667-PA
AT5G26920	AT5G26920.3	BGIOSGA002642-PA
AT5G26920	AT5G26920.1	BGIOSGA002642-PA
AT5G26920	AT5G26920.2	BGIOSGA002642-PA
AT5G26920	AT5G26920.3	BGIOSGA036047-PA
AT5G26920	AT5G26920.1	BGIOSGA036047-PA
AT5G26920	AT5G26920.2	BGIOSGA036047-PA
AT5G26920	AT5G26920.3	BGIOSGA037577-PA
AT5G26920	AT5G26920.1	BGIOSGA037577-PA
AT5G26920	AT5G26920.2	BGIOSGA037577-PA
AT5G26920	AT5G26920.3	BGIOSGA002640-PA
AT5G26920	AT5G26920.1	BGIOSGA002640-PA
AT5G26920	AT5G26920.2	BGIOSGA002640-PA
AT5G26920	AT5G26920.3	BGIOSGA027656-PA
AT5G26920	AT5G26920.1	BGIOSGA027656-PA
AT5G26920	AT5G26920.2	BGIOSGA027656-PA
AT2G40340	AT2G40340.2	
AT2G40340	AT2G40340.5	
AT2G40340	AT2G40340.1	
AT2G40340	AT2G40340.3	
AT2G40340	AT2G40340.4	
AT2G40340	AT2G40340.6	
AT2G03620	AT2G03620.1	
AT2G03620	AT2G03620.2	
AT4G37950	AT4G37950.2	
AT4G37950	AT4G37950.1	
AT5G54750	AT5G54750.2	BGIOSGA010567-PA
AT5G54750	AT5G54750.1	BGIOSGA010567-PA
AT5G54750	AT5G54750.2	BGIOSGA026243-PA
AT5G54750	AT5G54750.1	BGIOSGA026243-PA
AT5G47180	AT5G47180.1	BGIOSGA031452-PA
AT5G47180	AT5G47180.2	BGIOSGA031452-PA
AT5G47180	AT5G47180.1	BGIOSGA031453-PA
AT5G47180	AT5G47180.2	BGIOSGA031453-PA
AT5G04810	AT5G04810.1	BGIOSGA017382-PA
AT5G04810	AT5G04810.2	BGIOSGA017382-PA
AT5G44000	AT5G44000.1	BGIOSGA009277-PA
AT5G08020	AT5G08020.1	BGIOSGA012113-PA
AT5G64570	AT5G64570.3	BGIOSGA014248-PA
AT5G64570	AT5G64570.1	BGIOSGA014248-PA
AT5G64570	AT5G64570.2	BGIOSGA014248-PA
AT5G64570	AT5G64570.3	BGIOSGA014250-PA
AT5G64570	AT5G64570.1	BGIOSGA014250-PA
AT5G64570	AT5G64570.2	BGIOSGA014250-PA
AT1G43722	AT1G43722.1	
AT4G36250	AT4G36250.1	BGIOSGA005937-PA
AT4G36250	AT4G36250.1	BGIOSGA014634-PA
AT4G36250	AT4G36250.1	BGIOSGA008719-PA
AT1G73370	AT1G73370.3	BGIOSGA015483-PA
AT1G73370	AT1G73370.1	BGIOSGA015483-PA
AT1G73370	AT1G73370.2	BGIOSGA015483-PA
AT1G73370	AT1G73370.3	BGIOSGA009346-PA
AT1G73370	AT1G73370.1	BGIOSGA009346-PA
AT1G73370	AT1G73370.2	BGIOSGA009346-PA
AT1G73370	AT1G73370.3	BGIOSGA009348-PA
AT1G73370	AT1G73370.1	BGIOSGA009348-PA
AT1G73370	AT1G73370.2	BGIOSGA009348-PA
AT3G01185	AT3G01185.1	
AT5G42797	AT5G42797.1	
AT5G14060	AT5G14060.3	BGIOSGA000207-PA
AT5G14060	AT5G14060.1	BGIOSGA000207-PA
AT5G14060	AT5G14060.2	BGIOSGA000207-PA
AT5G14060	AT5G14060.3	BGIOSGA011634-PA
AT5G14060	AT5G14060.1	BGIOSGA011634-PA
AT5G14060	AT5G14060.2	BGIOSGA011634-PA
AT5G14060	AT5G14060.3	BGIOSGA013949-PA
AT5G14060	AT5G14060.1	BGIOSGA013949-PA
AT5G14060	AT5G14060.2	BGIOSGA013949-PA
AT5G14060	AT5G14060.3	BGIOSGA013950-PA
AT5G14060	AT5G14060.1	BGIOSGA013950-PA
AT5G14060	AT5G14060.2	BGIOSGA013950-PA
AT3G61190	AT3G61190.1	
AT3G61190	AT3G61190.2	
AT5G11480	AT5G11480.1	BGIOSGA004399-PA
AT1G01230	AT1G01230.1	
AT4G14680	AT4G14680.2	BGIOSGA009834-PA
AT4G14680	AT4G14680.1	BGIOSGA009834-PA
AT2G27930	AT2G27930.1	BGIOSGA026486-PA
AT2G27930	AT2G27930.5	BGIOSGA026486-PA
AT2G27930	AT2G27930.3	BGIOSGA026486-PA
AT2G27930	AT2G27930.4	BGIOSGA026486-PA
AT2G27930	AT2G27930.6	BGIOSGA026486-PA
AT2G27930	AT2G27930.2	BGIOSGA026486-PA
AT2G27930	AT2G27930.1	BGIOSGA035191-PA
AT2G27930	AT2G27930.5	BGIOSGA035191-PA
AT2G27930	AT2G27930.3	BGIOSGA035191-PA
AT2G27930	AT2G27930.4	BGIOSGA035191-PA
AT2G27930	AT2G27930.6	BGIOSGA035191-PA
AT2G27930	AT2G27930.2	BGIOSGA035191-PA
AT1G70700	AT1G70700.3	
AT1G70700	AT1G70700.2	
AT1G70700	AT1G70700.1	
AT3G15010	AT3G15010.1	BGIOSGA001211-PA
AT3G15010	AT3G15010.2	BGIOSGA001211-PA
AT5G17847	AT5G17847.1	
AT5G05270	AT5G05270.1	
AT5G05270	AT5G05270.2	
AT2G25055	AT2G25055.1	
AT2G03230	AT2G03230.1	
AT2G34770	AT2G34770.1	BGIOSGA037844-PA
AT2G34770	AT2G34770.1	BGIOSGA013665-PA
AT2G01540	AT2G01540.1	BGIOSGA025766-PA
AT2G01540	AT2G01540.1	BGIOSGA008103-PA
AT1G02380	AT1G02380.1	
AT4G17895	AT4G17895.1	BGIOSGA008848-PA
AT1G48870	AT1G48870.2	BGIOSGA006298-PA
AT1G48870	AT1G48870.3	BGIOSGA006298-PA
AT1G48870	AT1G48870.1	BGIOSGA006298-PA
AT1G48870	AT1G48870.2	BGIOSGA006296-PA
