Gene stable ID	Transcript stable ID	Medicago truncatula protein or transcript stable ID
AT2G27150	AT2G27150.4	AET00012
AT2G27150	AT2G27150.5	AET00012
AT2G27150	AT2G27150.3	AET00012
AT2G27150	AT2G27150.2	AET00012
AT2G27150	AT2G27150.6	AET00012
AT1G20180	AT1G20180.2	AES74062
AT1G20180	AT1G20180.1	AES74062
AT1G20180	AT1G20180.2	KEH20116
AT1G20180	AT1G20180.1	KEH20116
AT1G20180	AT1G20180.2	AES59800
AT1G20180	AT1G20180.1	AES59800
AT4G37440	AT4G37440.3	KEH17829
AT4G37440	AT4G37440.1	KEH17829
AT4G37440	AT4G37440.2	KEH17829
AT4G37440	AT4G37440.3	KEH21566
AT4G37440	AT4G37440.1	KEH21566
AT4G37440	AT4G37440.2	KEH21566
AT1G15870	AT1G15870.1	AES86398
AT3G61440	AT3G61440.3	AES80214
AT3G61440	AT3G61440.2	AES80214
AT3G61440	AT3G61440.4	AES80214
AT3G61440	AT3G61440.1	AES80214
AT1G30800	AT1G30800.1	KEH37776
AT3G58030	AT3G58030.4	AES81495
AT3G58030	AT3G58030.2	AES81495
AT3G58030	AT3G58030.1	AES81495
AT3G58030	AT3G58030.3	AES81495
AT5G66590	AT5G66590.1	AES94825
AT5G66590	AT5G66590.1	KEH20457
AT1G27461	AT1G27461.1	AES59306
ATMG00690	ATMG00690.1	
AT4G25830	AT4G25830.1	
AT5G27130	AT5G27130.1	
ATCG00530	ATCG00530.1	AES94889
AT4G31580	AT4G31580.2	
AT4G31580	AT4G31580.1	
AT1G34340	AT1G34340.1	KEH43541
AT1G34340	AT1G34340.1	AES62246
AT4G29510	AT4G29510.1	AES77098
AT3G43220	AT3G43220.2	KEH32413
AT3G43220	AT3G43220.1	KEH32413
AT3G43220	AT3G43220.3	KEH32413
AT2G42080	AT2G42080.1	KEH17432
AT3G50240	AT3G50240.4	KEH31468
AT3G50240	AT3G50240.1	KEH31468
AT3G50240	AT3G50240.3	KEH31468
AT3G50240	AT3G50240.2	KEH31468
AT3G09960	AT3G09960.1	KEH42082
AT3G09960	AT3G09960.1	KEH42081
AT1G29660	AT1G29660.1	AET04356
AT1G29660	AT1G29660.1	KEH33152
AT1G29660	AT1G29660.1	KEH15769
AT2G18130	AT2G18130.1	
AT1G65060	AT1G65060.1	AES93801
AT1G65060	AT1G65060.2	AES93801
AT2G24450	AT2G24450.1	AES73779
AT2G24450	AT2G24450.1	KEH39772
AT2G24450	AT2G24450.1	KEH39773
AT2G24450	AT2G24450.1	KEH39771
AT3G57300	AT3G57300.1	AES81322
AT3G57300	AT3G57300.3	AES81322
AT3G57300	AT3G57300.2	AES81322
AT3G57300	AT3G57300.4	AES81322
AT5G54280	AT5G54280.2	KEH19592
AT5G54280	AT5G54280.1	KEH19592
AT5G54280	AT5G54280.2	AES66739
AT5G54280	AT5G54280.1	AES66739
AT5G54280	AT5G54280.2	AES74504
AT5G54280	AT5G54280.1	AES74504
AT1G10890	AT1G10890.3	AES63292
AT1G10890	AT1G10890.4	AES63292
AT1G10890	AT1G10890.1	AES63292
AT1G10890	AT1G10890.2	AES63292
AT1G55335	AT1G55335.1	
AT5G34883	AT5G34883.1	
AT5G66960	AT5G66960.1	KEH20478
AT4G05590	AT4G05590.3	
AT4G05590	AT4G05590.2	
AT4G05590	AT4G05590.1	
AT3G46210	AT3G46210.1	AES80127
AT3G46210	AT3G46210.5	AES80127
AT3G46210	AT3G46210.7	AES80127
AT3G46210	AT3G46210.3	AES80127
AT3G46210	AT3G46210.6	AES80127
AT3G46210	AT3G46210.4	AES80127
AT3G46210	AT3G46210.2	AES80127
AT1G13805	AT1G13805.1	
AT1G31920	AT1G31920.1	AES95662
AT5G48540	AT5G48540.1	AES78986
AT4G14360	AT4G14360.1	KEH41127
AT4G14360	AT4G14360.2	KEH41127
AT4G14360	AT4G14360.1	AES61102
AT4G14360	AT4G14360.2	AES61102
AT5G54270	AT5G54270.1	AES66741
AT3G55515	AT3G55515.1	AES99393
AT3G55515	AT3G55515.1	KEH34723
AT5G06970	AT5G06970.1	AET02409
AT1G21510	AT1G21510.1	KEH35365
AT3G62330	AT3G62330.2	
AT3G62330	AT3G62330.1	
AT5G57260	AT5G57260.1	AES70572
AT5G22410	AT5G22410.1	
AT1G48400	AT1G48400.2	KEH25402
AT1G48400	AT1G48400.1	KEH25402
AT5G56470	AT5G56470.1	AES82813
AT4G10570	AT4G10570.1	KEH42912
AT5G41660	AT5G41660.1	
AT2G33880	AT2G33880.2	AES63937
AT2G33880	AT2G33880.1	AES63937
AT5G35590	AT5G35590.1	AES66039
AT5G35590	AT5G35590.1	KEH19590
AT2G10550	AT2G10550.1	
AT4G23540	AT4G23540.1	KEH41642
AT1G54300	AT1G54300.1	AES74800
AT1G54300	AT1G54300.1	AES74782
AT4G18823	AT4G18823.1	
AT1G55120	AT1G55120.2	AES98262
AT1G55120	AT1G55120.3	AES98262
AT1G55120	AT1G55120.1	AES98262
AT1G55120	AT1G55120.4	AES98262
AT1G55120	AT1G55120.2	AES67844
AT1G55120	AT1G55120.3	AES67844
AT1G55120	AT1G55120.1	AES67844
AT1G55120	AT1G55120.4	AES67844
AT1G55120	AT1G55120.2	KEH18387
AT1G55120	AT1G55120.3	KEH18387
AT1G55120	AT1G55120.1	KEH18387
AT1G55120	AT1G55120.4	KEH18387
AT3G26640	AT3G26640.1	AES80772
AT2G44760	AT2G44760.1	KEH17879
AT3G26147	AT3G26147.1	
AT2G04039	AT2G04039.3	KEH18726
AT2G04039	AT2G04039.1	KEH18726
AT2G04039	AT2G04039.2	KEH18726
AT1G08645	AT1G08645.1	
AT1G03495	AT1G03495.1	KEH39034
AT1G03495	AT1G03495.1	KEH21741
AT1G03495	AT1G03495.1	AES67352
AT1G03495	AT1G03495.1	KEH18149
AT1G03495	AT1G03495.1	KEH39030
AT5G19120	AT5G19120.1	KEH36785
AT1G70450	AT1G70450.1	AES96183
AT1G70450	AT1G70450.1	KEH20019
AT4G35190	AT4G35190.1	
AT4G35190	AT4G35190.2	
AT5G55850	AT5G55850.2	AET00799
AT5G55850	AT5G55850.3	AET00799
AT5G55850	AT5G55850.1	AET00799
AT5G36080	AT5G36080.1	
AT4G21770	AT4G21770.2	AES82501
AT4G21770	AT4G21770.1	AES82501
AT4G21770	AT4G21770.2	KEH36819
AT4G21770	AT4G21770.1	KEH36819
AT1G30240	AT1G30240.2	KEH35013
AT1G30240	AT1G30240.1	KEH35013
AT1G30240	AT1G30240.2	KEH18714
AT1G30240	AT1G30240.1	KEH18714
AT5G06360	AT5G06360.1	KEH15831
AT5G06360	AT5G06360.1	KEH35388
AT3G22370	AT3G22370.1	AES95538
AT5G01790	AT5G01790.1	
AT3G18750	AT3G18750.1	AET04695
AT3G18750	AT3G18750.3	AET04695
AT3G18750	AT3G18750.6	AET04695
AT3G18750	AT3G18750.4	AET04695
AT3G18750	AT3G18750.2	AET04695
AT3G18750	AT3G18750.5	AET04695
AT3G18750	AT3G18750.1	AES72811
AT3G18750	AT3G18750.3	AES72811
AT3G18750	AT3G18750.6	AES72811
AT3G18750	AT3G18750.4	AES72811
AT3G18750	AT3G18750.2	AES72811
AT3G18750	AT3G18750.5	AES72811
AT2G16770	AT2G16770.2	AES89377
AT2G16770	AT2G16770.1	AES89377
AT1G64570	AT1G64570.1	KEH36858
AT1G77855	AT1G77855.1	AES63268
AT1G77855	AT1G77855.1	AES97849
AT1G77855	AT1G77855.1	KEH28047
AT1G77855	AT1G77855.1	AET04440
AT1G77855	AT1G77855.1	AES71393
AT5G16000	AT5G16000.1	
AT3G62990	AT3G62990.1	
AT1G48190	AT1G48190.1	
AT5G08360	AT5G08360.1	
AT5G08360	AT5G08360.2	
AT3G53890	AT3G53890.2	KEH37266
AT3G53890	AT3G53890.1	KEH37266
AT3G53890	AT3G53890.2	AES80088
AT3G53890	AT3G53890.1	AES80088
AT5G27520	AT5G27520.1	KEH22356
AT5G27520	AT5G27520.1	AES96657
AT5G27520	AT5G27520.1	KEH22343
AT3G05680	AT3G05680.2	KEH41878
AT3G05680	AT3G05680.1	KEH41878
AT4G23630	AT4G23630.1	KEH21160
AT4G23630	AT4G23630.2	KEH21160
AT1G01590	AT1G01590.1	KEH18829
AT1G01590	AT1G01590.1	KEH18826
AT1G01590	AT1G01590.1	KEH18874
AT1G48120	AT1G48120.1	
AT4G23770	AT4G23770.2	
AT4G23770	AT4G23770.1	
AT2G27410	AT2G27410.1	KEH33775
AT4G14530	AT4G14530.1	
AT1G01070	AT1G01070.1	AES62961
AT1G01070	AT1G01070.2	AES62961
AT1G01070	AT1G01070.1	AES59977
AT1G01070	AT1G01070.2	AES59977
AT1G69940	AT1G69940.1	KEH38558
AT1G69940	AT1G69940.1	KEH17536
AT1G69940	AT1G69940.1	KEH30561
AT1G69940	AT1G69940.1	KEH17537
AT5G25590	AT5G25590.1	AES73846
AT1G02067	AT1G02067.1	
AT5G25160	AT5G25160.1	
AT5G19790	AT5G19790.1	AES80852
AT5G19790	AT5G19790.1	AES75163
AT5G19790	AT5G19790.1	AET04210
AT2G33620	AT2G33620.1	
AT2G33620	AT2G33620.4	
AT2G33620	AT2G33620.2	
AT2G33620	AT2G33620.3	
AT1G17440	AT1G17440.2	AET01739
AT1G17440	AT1G17440.1	AET01739
AT4G26510	AT4G26510.3	AES70676
AT4G26510	AT4G26510.2	AES70676
AT4G26510	AT4G26510.4	AES70676
AT4G26510	AT4G26510.1	AES70676
AT4G26510	AT4G26510.3	AET00853
AT4G26510	AT4G26510.2	AET00853
AT4G26510	AT4G26510.4	AET00853
AT4G26510	AT4G26510.1	AET00853
AT3G52880	AT3G52880.2	KEH42067
AT3G52880	AT3G52880.1	KEH42067
AT2G23960	AT2G23960.2	
AT2G23960	AT2G23960.1	
AT2G41180	AT2G41180.1	
AT1G79480	AT1G79480.2	AES63104
AT1G79480	AT1G79480.1	AES63104
AT2G14289	AT2G14289.1	
AT5G13680	AT5G13680.1	KEH44468
AT2G36110	AT2G36110.1	
AT3G01260	AT3G01260.1	KEH24989
AT3G01260	AT3G01260.1	KEH24988
AT3G01260	AT3G01260.1	AES77380
AT5G46390	AT5G46390.1	AET04377
AT5G46390	AT5G46390.2	AET04377
AT2G38060	AT2G38060.1	KEH23123
AT2G38060	AT2G38060.2	KEH23123
AT1G44478	AT1G44478.1	
AT4G20740	AT4G20740.1	AES69154
AT1G80230	AT1G80230.1	AES68092
AT1G80230	AT1G80230.1	KEH28722
AT2G20840	AT2G20840.3	KEH29623
AT2G20840	AT2G20840.2	KEH29623
AT2G20840	AT2G20840.1	KEH29623
AT2G31005	AT2G31005.1	
AT2G26130	AT2G26130.1	
AT5G27350	AT5G27350.1	
AT2G44620	AT2G44620.1	AES80452
AT5G47360	AT5G47360.1	AES87099
AT1G63080	AT1G63080.2	
AT1G63080	AT1G63080.1	
AT1G63080	AT1G63080.3	
AT5G65070	AT5G65070.4	
AT5G65070	AT5G65070.3	
AT5G65070	AT5G65070.5	
AT5G65070	AT5G65070.1	
AT5G65070	AT5G65070.2	
AT5G65070	AT5G65070.6	
AT2G21550	AT2G21550.2	AES89162
AT2G21550	AT2G21550.1	AES89162
AT2G21550	AT2G21550.2	AES74214
AT2G21550	AT2G21550.1	AES74214
AT2G21550	AT2G21550.2	KEH25100
AT2G21550	AT2G21550.1	KEH25100
AT4G15870	AT4G15870.1	
AT5G17650	AT5G17650.1	
AT3G59550	AT3G59550.1	
AT2G18690	AT2G18690.1	
AT2G18690	AT2G18690.2	
AT1G70160	AT1G70160.1	AES96375
AT5G45710	AT5G45710.3	AES64060
AT5G45710	AT5G45710.4	AES64060
AT5G45710	AT5G45710.1	AES64060
AT5G45710	AT5G45710.2	AES64060
AT5G45710	AT5G45710.3	AES97215
AT5G45710	AT5G45710.4	AES97215
AT5G45710	AT5G45710.1	AES97215
AT5G45710	AT5G45710.2	AES97215
AT5G45710	AT5G45710.3	AET04323
AT5G45710	AT5G45710.4	AET04323
AT5G45710	AT5G45710.1	AET04323
AT5G45710	AT5G45710.2	AET04323
AT5G45710	AT5G45710.3	KEH37649
AT5G45710	AT5G45710.4	KEH37649
AT5G45710	AT5G45710.1	KEH37649
AT5G45710	AT5G45710.2	KEH37649
AT2G47890	AT2G47890.1	
AT2G47890	AT2G47890.3	
AT2G47890	AT2G47890.2	
AT1G31410	AT1G31410.1	AET03459
AT3G26370	AT3G26370.2	AES72149
AT3G26370	AT3G26370.1	AES72149
AT1G76705	AT1G76705.1	
AT3G44960	AT3G44960.2	AES88546
AT3G44960	AT3G44960.5	AES88546
AT3G44960	AT3G44960.1	AES88546
AT3G44960	AT3G44960.3	AES88546
AT3G44960	AT3G44960.4	AES88546
AT2G37240	AT2G37240.1	AES81782
AT2G14050	AT2G14050.2	AES63482
AT2G14050	AT2G14050.1	AES63482
AT3G45740	AT3G45740.1	AES67530
AT3G45740	AT3G45740.2	AES67530
AT2G40600	AT2G40600.1	AES58728
AT1G08550	AT1G08550.2	AES82724
AT1G08550	AT1G08550.1	AES82724
AT1G08550	AT1G08550.3	AES82724
AT2G21300	AT2G21300.2	AES89267
AT2G21300	AT2G21300.4	AES89267
AT2G21300	AT2G21300.3	AES89267
AT2G21300	AT2G21300.1	AES89267
AT2G21300	AT2G21300.5	AES89267
AT3G48280	AT3G48280.1	
AT1G70970	AT1G70970.1	KEH24573
AT3G05350	AT3G05350.1	AES82504
AT5G28900	AT5G28900.1	AES61204
AT5G28900	AT5G28900.1	AES82677
AT5G11990	AT5G11990.1	
AT3G18550	AT3G18550.1	KEH32084
AT3G18550	AT3G18550.3	KEH32084
AT3G18550	AT3G18550.4	KEH32084
AT3G18550	AT3G18550.2	KEH32084
AT4G30220	AT4G30220.1	AES92309
AT4G30220	AT4G30220.2	AES92309
AT1G08320	AT1G08320.1	AES88309
AT1G08320	AT1G08320.4	AES88309
AT1G08320	AT1G08320.3	AES88309
AT1G08320	AT1G08320.2	AES88309
AT1G08320	AT1G08320.5	AES88309
AT1G08320	AT1G08320.1	AES67065
AT1G08320	AT1G08320.4	AES67065
AT1G08320	AT1G08320.3	AES67065
AT1G08320	AT1G08320.2	AES67065
AT1G08320	AT1G08320.5	AES67065
AT5G09830	AT5G09830.1	KEH20887
AT1G76450	AT1G76450.1	AES74125
AT4G09160	AT4G09160.1	
AT4G09160	AT4G09160.2	
AT4G09160	AT4G09160.3	
AT1G48880	AT1G48880.1	AET04731
AT3G11650	AT3G11650.1	AES76109
AT3G11650	AT3G11650.1	KEH41906
AT3G11650	AT3G11650.1	KEH26689
AT3G11650	AT3G11650.1	KEH24222
AT3G11650	AT3G11650.1	KEH24224
AT3G11650	AT3G11650.1	KEH41904
AT3G11650	AT3G11650.1	KEH41914
AT3G11650	AT3G11650.1	KEH32283
AT3G11650	AT3G11650.1	KEH24219
AT3G11650	AT3G11650.1	AES76110
AT3G11650	AT3G11650.1	AES76072
AT3G11650	AT3G11650.1	AES76073
AT3G11650	AT3G11650.1	KEH24214
AT3G11650	AT3G11650.1	KEH26688
AT3G11650	AT3G11650.1	KEH24223
AT2G20140	AT2G20140.1	AES81702
AT2G20140	AT2G20140.1	KEH42402
AT4G10955	AT4G10955.2	AES93935
AT4G10955	AT4G10955.1	AES93935
AT4G10955	AT4G10955.2	AES95697
AT4G10955	AT4G10955.1	AES95697
AT4G10955	AT4G10955.2	KEH21237
AT4G10955	AT4G10955.1	KEH21237
AT3G22942	AT3G22942.1	KEH42807
AT3G22942	AT3G22942.1	KEH42816
AT3G03950	AT3G03950.3	
AT3G03950	AT3G03950.1	
AT3G03950	AT3G03950.2	
AT1G12020	AT1G12020.1	AES92696
AT1G12020	AT1G12020.1	KEH26349
AT1G12020	AT1G12020.1	AES64438
AT5G15810	AT5G15810.1	KEH25137
AT1G01340	AT1G01340.2	KEH24626
AT1G01340	AT1G01340.1	KEH24626
AT1G01340	AT1G01340.2	KEH18669
AT1G01340	AT1G01340.1	KEH18669
AT4G01090	AT4G01090.1	AES82772
AT4G01090	AT4G01090.1	KEH17297
AT3G23290	AT3G23290.2	AES61108
AT3G23290	AT3G23290.2	KEH41129
AT5G67630	AT5G67630.1	AES70731
AT4G01740	AT4G01740.1	
AT3G44680	AT3G44680.1	AES88434
AT1G21960	AT1G21960.1	KEH39368
AT1G30620	AT1G30620.1	KEH37130
AT1G30620	AT1G30620.6	KEH37130
AT1G30620	AT1G30620.3	KEH37130
AT1G30620	AT1G30620.4	KEH37130
AT1G30620	AT1G30620.2	KEH37130
AT1G30620	AT1G30620.5	KEH37130
AT1G30620	AT1G30620.1	AET04476
AT1G30620	AT1G30620.6	AET04476
AT1G30620	AT1G30620.3	AET04476
AT1G30620	AT1G30620.4	AET04476
AT1G30620	AT1G30620.2	AET04476
AT1G30620	AT1G30620.5	AET04476
AT3G03890	AT3G03890.2	KEH23532
AT3G03890	AT3G03890.1	KEH23532
AT1G34095	AT1G34095.1	
AT3G29410	AT3G29410.1	
AT3G29410	AT3G29410.2	
AT3G58050	AT3G58050.2	KEH41736
AT3G58050	AT3G58050.1	KEH41736
AT3G58050	AT3G58050.2	AES81516
AT3G58050	AT3G58050.1	AES81516
AT5G64360	AT5G64360.1	AES90620
AT5G64360	AT5G64360.5	AES90620
AT5G64360	AT5G64360.7	AES90620
AT5G64360	AT5G64360.6	AES90620
AT5G64360	AT5G64360.3	AES90620
AT5G64360	AT5G64360.2	AES90620
AT5G64360	AT5G64360.4	AES90620
AT5G64360	AT5G64360.1	AES63513
AT5G64360	AT5G64360.5	AES63513
AT5G64360	AT5G64360.7	AES63513
AT5G64360	AT5G64360.6	AES63513
AT5G64360	AT5G64360.3	AES63513
AT5G64360	AT5G64360.2	AES63513
AT5G64360	AT5G64360.4	AES63513
AT3G25590	AT3G25590.1	KEH26720
AT5G23710	AT5G23710.1	AES82210
AT5G23710	AT5G23710.1	KEH17678
AT5G60300	AT5G60300.1	
AT5G60300	AT5G60300.2	
AT5G60300	AT5G60300.3	
AT2G37910	AT2G37910.1	
AT1G09920	AT1G09920.1	AES73963
AT1G09920	AT1G09920.1	AES98306
AT5G54200	AT5G54200.1	KEH38772
AT3G13740	AT3G13740.3	AES67869
AT3G13740	AT3G13740.1	AES67869
AT3G13740	AT3G13740.5	AES67869
AT3G13740	AT3G13740.6	AES67869
AT3G13740	AT3G13740.4	AES67869
AT3G13740	AT3G13740.2	AES67869
AT5G41580	AT5G41580.1	AES94009
AT2G03780	AT2G03780.1	AET03210
AT2G03780	AT2G03780.2	AET03210
AT2G03780	AT2G03780.3	AET03210
AT4G05240	AT4G05240.1	
AT5G38840	AT5G38840.1	AES77811
AT4G18620	AT4G18620.1	
AT4G24800	AT4G24800.4	AES91110
AT4G24800	AT4G24800.1	AES91110
AT4G24800	AT4G24800.3	AES91110
AT4G24800	AT4G24800.2	AES91110
AT3G19410	AT3G19410.1	
AT2G20920	AT2G20920.1	KEH44382
AT1G18840	AT1G18840.1	AES91230
AT1G18840	AT1G18840.3	AES91230
AT1G18840	AT1G18840.2	AES91230
AT5G25240	AT5G25240.1	
AT2G16030	AT2G16030.1	AES88842
AT2G16030	AT2G16030.1	KEH29651
AT3G58170	AT3G58170.1	KEH42573
AT1G35410	AT1G35410.1	
AT3G12060	AT3G12060.1	KEH16599
AT3G12060	AT3G12060.1	AES81498
AT2G42460	AT2G42460.1	
AT5G11930	AT5G11930.1	AES59222
AT5G11930	AT5G11930.1	AES73410
AT2G20850	AT2G20850.1	KEH29625
AT2G20850	AT2G20850.2	KEH29625
AT2G20850	AT2G20850.1	KEH39081
AT2G20850	AT2G20850.2	KEH39081
AT5G64370	AT5G64370.1	AES90585
AT5G64370	AT5G64370.1	AES90584
AT3G28600	AT3G28600.1	
AT3G28600	AT3G28600.2	
AT4G26580	AT4G26580.1	AET00830
AT4G26580	AT4G26580.2	AET00830
AT3G50850	AT3G50850.1	AET03926
AT1G76030	AT1G76030.1	
AT2G23070	AT2G23070.1	KEH31524
AT2G23070	AT2G23070.1	AES94569
AT5G52700	AT5G52700.1	
AT2G01130	AT2G01130.2	KEH44157
AT2G01130	AT2G01130.1	KEH44157
AT2G44210	AT2G44210.1	
AT2G44210	AT2G44210.2	
AT1G02280	AT1G02280.1	
AT1G02280	AT1G02280.2	
AT2G31410	AT2G31410.1	AES80709
AT3G44540	AT3G44540.2	AES88362
AT3G44540	AT3G44540.3	AES88362
AT3G44540	AT3G44540.1	AES88362
AT3G44540	AT3G44540.2	AES88384
AT3G44540	AT3G44540.3	AES88384
AT3G44540	AT3G44540.1	AES88384
AT3G44540	AT3G44540.2	AES75250
AT3G44540	AT3G44540.3	AES75250
AT3G44540	AT3G44540.1	AES75250
AT3G44540	AT3G44540.2	AES88386
AT3G44540	AT3G44540.3	AES88386
AT3G44540	AT3G44540.1	AES88386
AT3G44540	AT3G44540.2	AES97100
AT3G44540	AT3G44540.3	AES97100
AT3G44540	AT3G44540.1	AES97100
AT3G44540	AT3G44540.2	KEH26006
AT3G44540	AT3G44540.3	KEH26006
AT3G44540	AT3G44540.1	KEH26006
AT3G44540	AT3G44540.2	AES98766
AT3G44540	AT3G44540.3	AES98766
AT3G44540	AT3G44540.1	AES98766
AT3G44540	AT3G44540.2	AES88411
AT3G44540	AT3G44540.3	AES88411
AT3G44540	AT3G44540.1	AES88411
AT3G44540	AT3G44540.2	AES98767
AT3G44540	AT3G44540.3	AES98767
AT3G44540	AT3G44540.1	AES98767
AT3G44540	AT3G44540.2	AES75254
AT3G44540	AT3G44540.3	AES75254
AT3G44540	AT3G44540.1	AES75254
AT3G43833	AT3G43833.1	
AT1G43665	AT1G43665.1	
AT4G28050	AT4G28050.1	AET00924
AT4G28050	AT4G28050.1	KEH32585
AT2G03310	AT2G03310.1	
AT4G17350	AT4G17350.1	AES94291
AT1G52110	AT1G52110.1	
AT1G64795	AT1G64795.1	
AT2G35910	AT2G35910.1	AES60564
AT1G05180	AT1G05180.2	AES88130
AT1G05180	AT1G05180.1	AES88130
AT1G05180	AT1G05180.3	AES88130
AT5G17850	AT5G17850.1	AES80935
AT5G17850	AT5G17850.2	AES80935
AT5G17850	AT5G17850.1	KEH25551
AT5G17850	AT5G17850.2	KEH25551
AT5G13920	AT5G13920.1	
AT5G13920	AT5G13920.2	
AT3G45300	AT3G45300.1	AES88647
AT1G56070	AT1G56070.3	KEH41290
AT1G56070	AT1G56070.2	KEH41290
AT1G56070	AT1G56070.1	KEH41290
AT1G56070	AT1G56070.3	AES66417
AT1G56070	AT1G56070.2	AES66417
AT1G56070	AT1G56070.1	AES66417
AT1G56070	AT1G56070.3	AES66437
AT1G56070	AT1G56070.2	AES66437
AT1G56070	AT1G56070.1	AES66437
AT5G22160	AT5G22160.1	
AT3G61550	AT3G61550.1	AES80320
AT3G61550	AT3G61550.1	KEH18782
AT1G72000	AT1G72000.1	AES62250
AT1G72000	AT1G72000.1	AES62239
AT3G11220	AT3G11220.1	KEH17912
AT3G11220	AT3G11220.2	KEH17912
AT2G36430	AT2G36430.1	
AT4G19170	AT4G19170.1	AES95419
AT4G19170	AT4G19170.1	AES95418
AT4G19170	AT4G19170.1	AES95417
AT1G13260	AT1G13260.1	AES63108
AT5G50360	AT5G50360.1	KEH34971
AT5G50360	AT5G50360.1	AES91064
AT5G45030	AT5G45030.1	AES90078
AT5G45030	AT5G45030.2	AES90078
AT2G28620	AT2G28620.1	AES67545
AT2G28620	AT2G28620.3	AES67545
AT2G28620	AT2G28620.2	AES67545
AT2G20430	AT2G20430.1	KEH42488
AT2G26800	AT2G26800.1	KEH33538
AT2G26800	AT2G26800.2	KEH33538
AT2G26800	AT2G26800.4	KEH33538
AT2G26800	AT2G26800.3	KEH33538
AT2G26800	AT2G26800.5	KEH33538
AT4G29990	AT4G29990.1	
AT4G29990	AT4G29990.2	
AT5G63590	AT5G63590.1	AES97739
AT5G63590	AT5G63590.1	AES97738
AT5G63590	AT5G63590.1	AES71332
AT3G50180	AT3G50180.1	AES94630
AT4G19275	AT4G19275.1	
AT3G07480	AT3G07480.1	AES78935
ATMG01100	ATMG01100.1	
AT4G29960	AT4G29960.1	AES65317
AT2G26310	AT2G26310.1	AES59205
AT2G26310	AT2G26310.4	AES59205
AT2G26310	AT2G26310.2	AES59205
AT2G26310	AT2G26310.3	AES59205
AT2G26310	AT2G26310.5	AES59205
AT3G47660	AT3G47660.3	
AT3G47660	AT3G47660.5	
AT3G47660	AT3G47660.2	
AT3G47660	AT3G47660.1	
AT3G47660	AT3G47660.6	
AT3G47660	AT3G47660.4	
AT3G47660	AT3G47660.7	
AT3G14130	AT3G14130.3	
AT3G14130	AT3G14130.4	
AT3G14130	AT3G14130.2	
AT3G14130	AT3G14130.1	
AT4G03240	AT4G03240.1	AES76128
AT4G03240	AT4G03240.1	AES76117
AT4G03240	AT4G03240.1	AES80966
AT5G59030	AT5G59030.1	
AT2G05840	AT2G05840.2	AES66039
AT2G05840	AT2G05840.3	AES66039
AT2G05840	AT2G05840.1	AES66039
AT2G05840	AT2G05840.2	KEH19590
AT2G05840	AT2G05840.3	KEH19590
AT2G05840	AT2G05840.1	KEH19590
AT3G12260	AT3G12260.1	AET02405
AT5G17700	AT5G17700.2	KEH25522
AT5G17700	AT5G17700.3	KEH25522
AT5G17700	AT5G17700.1	KEH25522
AT5G17700	AT5G17700.2	AES80997
AT5G17700	AT5G17700.3	AES80997
AT5G17700	AT5G17700.1	AES80997
AT5G17700	AT5G17700.2	AES80998
AT5G17700	AT5G17700.3	AES80998
AT5G17700	AT5G17700.1	AES80998
AT5G17700	AT5G17700.2	AES81002
AT5G17700	AT5G17700.3	AES81002
AT5G17700	AT5G17700.1	AES81002
AT5G17700	AT5G17700.2	KEH25521
AT5G17700	AT5G17700.3	KEH25521
AT5G17700	AT5G17700.1	KEH25521
AT5G17700	AT5G17700.2	AES80999
AT5G17700	AT5G17700.3	AES80999
AT5G17700	AT5G17700.1	AES80999
AT4G10710	AT4G10710.2	AES74653
AT4G10710	AT4G10710.3	AES74653
AT4G10710	AT4G10710.1	AES74653
AT4G10710	AT4G10710.2	AES70880
AT4G10710	AT4G10710.3	AES70880
AT4G10710	AT4G10710.1	AES70880
AT4G05060	AT4G05060.1	
AT5G64950	AT5G64950.1	KEH20640
AT5G64950	AT5G64950.1	KEH20637
AT3G16785	AT3G16785.1	KEH37185
AT3G16785	AT3G16785.3	KEH37185
AT3G16785	AT3G16785.4	KEH37185
AT3G16785	AT3G16785.2	KEH37185
AT3G16785	AT3G16785.6	KEH37185
AT3G16785	AT3G16785.5	KEH37185
AT5G18360	AT5G18360.1	AES87066
AT3G21940	AT3G21940.2	AES67291
AT3G21940	AT3G21940.1	AES67291
AT3G21940	AT3G21940.2	AES67286
AT3G21940	AT3G21940.1	AES67286
AT5G58900	AT5G58900.1	AES98536
AT5G58900	AT5G58900.1	KEH34188
AT3G17700	AT3G17700.1	KEH26829
AT3G17700	AT3G17700.2	KEH26829
AT3G17700	AT3G17700.1	KEH26825
AT3G17700	AT3G17700.2	KEH26825
AT3G17700	AT3G17700.1	AES76319
AT3G17700	AT3G17700.2	AES76319
AT3G17700	AT3G17700.1	KEH26841
AT3G17700	AT3G17700.2	KEH26841
AT3G17700	AT3G17700.1	KEH26823
AT3G17700	AT3G17700.2	KEH26823
AT3G17700	AT3G17700.1	KEH26827
AT3G17700	AT3G17700.2	KEH26827
AT3G17700	AT3G17700.1	KEH26817
AT3G17700	AT3G17700.2	KEH26817
AT3G17700	AT3G17700.1	AES93800
AT3G17700	AT3G17700.2	AES93800
AT3G17700	AT3G17700.1	KEH26819
AT3G17700	AT3G17700.2	KEH26819
AT4G14165	AT4G14165.1	
AT1G17970	AT1G17970.2	AES76636
AT1G17970	AT1G17970.1	AES76636
AT1G17970	AT1G17970.2	AET05501
